professor_id,age,gender,minority,native_english,lower_division,attractive,eval,evaluation
1,36,female,yes,yes,no,yes,4.3,yes
2,59,male,no,yes,no,no,4.5,yes
3,51,male,no,yes,no,no,3.7,yes
4,40,female,no,yes,no,no,4.3,yes
5,31,female,no,yes,no,yes,4.4,yes
6,62,male,no,yes,no,yes,4.2,yes
7,33,female,no,yes,no,no,4.0,yes
8,51,female,no,yes,no,no,3.4,no
9,33,female,no,yes,no,yes,4.5,yes
10,47,male,no,yes,no,yes,3.9,yes
11,35,male,yes,no,no,yes,3.1,no
12,37,male,no,yes,no,no,4.0,yes
13,42,male,no,yes,no,yes,3.8,yes
14,49,male,no,no,no,no,3.4,no
15,37,female,no,yes,no,yes,2.9,no
16,45,male,no,yes,no,no,4.5,yes
17,56,female,no,yes,no,no,4.0,yes
18,48,male,no,yes,yes,no,3.8,yes
19,46,female,no,yes,no,no,4.3,yes
20,57,female,no,yes,no,yes,3.4,no
21,52,female,no,yes,no,yes,3.4,no
22,29,female,yes,no,no,no,3.3,no
23,62,male,no,yes,no,no,4.3,yes
24,64,male,no,yes,no,no,4.4,yes
25,34,female,no,yes,no,yes,4.6,yes
26,58,male,no,yes,no,no,4.2,yes
27,52,male,yes,no,no,yes,4.0,yes
28,73,male,no,yes,no,no,3.3,no
29,70,male,no,yes,no,no,4.4,yes
30,41,female,no,yes,no,yes,2.3,no
31,63,male,no,yes,no,no,3.5,yes
32,47,male,no,yes,no,no,4.7,yes
33,39,male,no,yes,yes,yes,3.9,yes
34,47,female,yes,yes,yes,no,4.0,yes
35,54,male,no,yes,no,no,4.3,yes
36,44,female,yes,yes,no,yes,3.8,yes
37,47,male,yes,yes,no,no,3.8,yes
38,62,male,no,yes,no,no,4.0,yes
39,60,male,no,yes,no,no,4.6,yes
40,37,male,no,yes,no,yes,3.5,yes
41,42,male,no,yes,no,no,4.7,yes
42,35,male,no,yes,no,yes,4.2,yes
43,39,female,no,yes,yes,yes,3.4,no
44,49,male,no,yes,no,yes,3.9,yes
45,61,male,no,yes,yes,yes,4.5,yes
46,33,male,no,yes,no,yes,4.7,yes
47,58,female,no,yes,no,yes,3.5,yes
48,56,female,no,yes,no,no,3.7,yes
49,50,female,no,yes,yes,no,4.0,yes
50,52,male,no,yes,no,no,4.1,yes
51,33,female,no,yes,no,yes,4.4,yes
52,57,male,no,yes,no,yes,4.2,yes
53,38,female,no,yes,no,yes,4.5,yes
54,34,female,no,yes,yes,no,3.8,yes
55,34,male,no,yes,no,yes,3.1,no
56,32,male,no,yes,yes,no,3.7,yes
57,42,female,no,yes,yes,yes,3.9,yes
58,43,female,no,yes,yes,no,4.0,yes
59,35,male,no,no,no,no,3.3,no
60,62,female,no,yes,no,no,3.1,no
61,42,male,no,yes,no,no,4.0,yes
62,39,male,no,yes,no,yes,4.3,yes
63,52,female,no,yes,no,yes,3.7,yes
64,52,female,no,yes,no,yes,3.4,no
65,52,female,no,yes,no,no,4.3,yes
66,64,male,no,yes,no,no,3.7,yes
67,50,male,no,yes,no,yes,4.2,yes
68,60,male,no,yes,no,no,2.2,no
69,51,female,no,yes,no,yes,3.0,no
70,43,male,no,yes,yes,no,4.3,yes
71,50,male,yes,yes,yes,no,4.6,yes
72,52,male,no,yes,no,yes,3.5,yes
73,51,male,no,yes,yes,yes,4.6,yes
74,38,male,no,yes,yes,no,3.7,yes
75,47,female,no,yes,yes,yes,3.8,yes
76,43,female,yes,yes,yes,no,3.6,yes
77,38,female,no,yes,yes,no,4.4,yes
78,43,male,no,yes,yes,no,4.1,yes
79,57,male,no,yes,no,no,4.3,yes
80,51,female,no,yes,no,yes,4.0,yes
81,45,male,no,yes,yes,no,4.8,yes
82,57,male,no,yes,yes,no,3.5,yes
83,47,female,no,yes,yes,yes,3.6,yes
84,54,female,yes,yes,yes,yes,3.8,yes
85,58,male,no,yes,yes,yes,4.7,yes
86,42,male,no,yes,yes,yes,4.9,yes
87,33,male,no,yes,yes,yes,4.3,yes
88,62,male,no,yes,yes,no,3.3,no
89,35,female,yes,yes,yes,yes,3.4,no
90,61,male,no,yes,yes,no,3.6,yes
91,52,female,no,yes,yes,no,4.0,yes
92,60,female,no,no,no,no,3.9,yes
93,32,male,no,yes,yes,yes,4.3,yes
94,42,female,yes,no,no,yes,3.3,no
1,36,female,yes,yes,no,yes,3.7,yes
1,36,female,yes,yes,no,yes,3.6,yes
1,36,female,yes,yes,no,yes,4.4,yes
2,59,male,no,yes,no,no,4.0,yes
2,59,male,no,yes,no,no,2.1,no
3,51,male,no,yes,no,no,3.2,no
4,40,female,no,yes,no,no,3.5,yes
4,40,female,no,yes,no,no,4.1,yes
4,40,female,no,yes,no,no,4.6,yes
4,40,female,no,yes,no,no,3.8,yes
4,40,female,no,yes,no,no,3.8,yes
4,40,female,no,yes,no,no,3.8,yes
4,40,female,no,yes,no,no,4.2,yes
5,31,female,no,yes,no,yes,3.9,yes
5,31,female,no,yes,no,yes,4.5,yes
5,31,female,no,yes,no,yes,4.5,yes
5,31,female,no,yes,no,yes,4.4,yes
5,31,female,no,yes,no,yes,4.4,yes
6,62,male,no,yes,no,yes,4.4,yes
6,62,male,no,yes,no,yes,4.5,yes
6,62,male,no,yes,no,yes,4.3,yes
6,62,male,no,yes,no,yes,4.6,yes
6,62,male,no,yes,no,yes,4.8,yes
6,62,male,no,yes,no,yes,4.3,yes
7,33,female,no,yes,no,no,4.0,yes
7,33,female,no,yes,no,no,4.0,yes
7,33,female,no,yes,no,no,3.9,yes
7,33,female,no,yes,no,no,3.3,no
8,51,female,no,yes,no,no,4.5,yes
8,51,female,no,yes,no,no,4.5,yes
8,51,female,no,yes,no,no,4.5,yes
8,51,female,no,yes,yes,no,2.5,no
8,51,female,no,yes,no,no,4.3,yes
8,51,female,no,yes,no,no,4.5,yes
9,33,female,no,yes,no,yes,4.7,yes
9,33,female,no,yes,no,yes,3.5,yes
9,33,female,no,yes,no,yes,4.5,yes
9,33,female,no,yes,no,yes,3.8,yes
9,33,female,no,yes,no,yes,4.5,yes
9,33,female,no,yes,no,yes,4.3,yes
10,47,male,no,yes,no,yes,3.9,yes
10,47,male,no,yes,no,yes,4.3,yes
10,47,male,no,yes,no,yes,4.2,yes
10,47,male,no,yes,yes,yes,5.0,yes
10,47,male,no,yes,yes,yes,5.0,yes
10,47,male,no,yes,no,yes,4.6,yes
10,47,male,no,yes,yes,yes,5.0,yes
10,47,male,no,yes,no,yes,4.7,yes
10,47,male,no,yes,yes,yes,5.0,yes
11,35,male,yes,no,no,yes,2.7,no
11,35,male,yes,no,no,yes,4.0,yes
12,37,male,no,yes,no,no,4.4,yes
12,37,male,no,yes,no,no,4.4,yes
12,37,male,no,yes,no,no,4.3,yes
12,37,male,no,yes,no,no,3.5,yes
13,42,male,no,yes,no,yes,3.8,yes
13,42,male,no,yes,no,yes,3.9,yes
13,42,male,no,yes,no,yes,3.7,yes
13,42,male,no,yes,no,yes,3.3,no
13,42,male,no,yes,no,yes,4.0,yes
13,42,male,no,yes,no,yes,3.8,yes
14,49,male,no,no,no,no,4.2,yes
14,49,male,no,no,no,no,3.1,no
14,49,male,no,no,no,no,3.6,yes
15,37,female,no,yes,no,yes,3.3,no
15,37,female,no,yes,no,yes,2.9,no
15,37,female,no,yes,no,yes,3.1,no
16,45,male,no,yes,yes,no,4.0,yes
16,45,male,no,yes,yes,no,4.0,yes
16,45,male,no,yes,no,no,4.2,yes
16,45,male,no,yes,no,no,3.8,yes
16,45,male,no,yes,yes,no,4.3,yes
17,56,female,no,yes,no,no,4.6,yes
17,56,female,no,yes,no,no,4.3,yes
17,56,female,no,yes,no,no,3.6,yes
17,56,female,no,yes,no,no,4.2,yes
18,48,male,no,yes,no,no,3.9,yes
18,48,male,no,yes,no,no,4.1,yes
18,48,male,no,yes,yes,no,4.0,yes
18,48,male,no,yes,yes,no,4.3,yes
18,48,male,no,yes,no,no,3.9,yes
18,48,male,no,yes,yes,no,4.2,yes
18,48,male,no,yes,yes,no,4.2,yes
19,46,female,no,yes,yes,no,4.9,yes
19,46,female,no,yes,no,no,4.0,yes
19,46,female,no,yes,no,no,4.3,yes
19,46,female,no,yes,no,no,4.9,yes
19,46,female,no,yes,no,no,3.9,yes
19,46,female,no,yes,yes,no,4.9,yes
19,46,female,no,yes,no,no,3.9,yes
19,46,female,no,yes,yes,no,4.0,yes
20,57,female,no,yes,no,yes,3.5,yes
20,57,female,no,yes,no,yes,3.9,yes
20,57,female,no,yes,no,yes,4.0,yes
20,57,female,no,yes,no,yes,3.6,yes
20,57,female,no,yes,no,yes,3.0,no
20,57,female,no,yes,no,yes,3.0,no
20,57,female,no,yes,no,yes,3.6,yes
20,57,female,no,yes,no,yes,3.6,yes
20,57,female,no,yes,no,yes,3.2,no
21,52,female,no,yes,no,yes,3.9,yes
21,52,female,no,yes,no,yes,3.5,yes
21,52,female,no,yes,no,yes,3.5,yes
21,52,female,no,yes,no,yes,3.1,no
21,52,female,no,yes,no,yes,4.2,yes
23,62,male,no,yes,yes,no,3.6,yes
23,62,male,no,yes,no,no,4.5,yes
23,62,male,no,yes,yes,no,3.7,yes
23,62,male,no,yes,yes,no,3.4,no
24,64,male,no,yes,no,no,4.5,yes
24,64,male,no,yes,no,no,4.6,yes
24,64,male,no,yes,no,no,4.8,yes
24,64,male,no,yes,no,no,4.5,yes
24,64,male,no,yes,no,no,4.4,yes
24,64,male,no,yes,no,no,4.1,yes
25,34,female,no,yes,no,yes,3.9,yes
26,58,male,no,yes,no,no,4.3,yes
26,58,male,no,yes,yes,no,3.5,yes
26,58,male,no,yes,no,no,4.0,yes
26,58,male,no,yes,yes,no,4.0,yes
27,52,male,yes,no,no,yes,4.6,yes
27,52,male,yes,no,no,yes,4.6,yes
27,52,male,yes,no,no,yes,3.7,yes
27,52,male,yes,no,no,yes,3.5,yes
27,52,male,yes,no,no,yes,3.6,yes
27,52,male,yes,no,no,yes,3.9,yes
28,73,male,no,yes,no,no,4.2,yes
28,73,male,no,yes,no,no,3.2,no
28,73,male,no,yes,no,no,4.9,yes
29,70,male,no,yes,no,no,4.0,yes
29,70,male,no,yes,no,no,3.5,yes
29,70,male,no,yes,no,no,3.4,no
31,63,male,no,yes,no,no,4.2,yes
31,63,male,no,yes,no,no,3.5,yes
31,63,male,no,yes,no,no,4.4,yes
31,63,male,no,yes,no,no,3.7,yes
31,63,male,no,yes,no,no,3.4,no
31,63,male,no,yes,no,no,3.0,no
32,47,male,no,yes,no,no,3.9,yes
32,47,male,no,yes,no,no,2.8,no
33,39,male,no,yes,yes,yes,3.7,yes
33,39,male,no,yes,no,yes,4.6,yes
33,39,male,no,yes,no,yes,4.2,yes
33,39,male,no,yes,no,yes,4.4,yes
34,47,female,yes,yes,no,no,3.8,yes
34,47,female,yes,yes,yes,no,4.1,yes
34,47,female,yes,yes,yes,no,3.7,yes
34,47,female,yes,yes,no,no,4.1,yes
34,47,female,yes,yes,yes,no,3.0,no
34,47,female,yes,yes,yes,no,3.2,no
34,47,female,yes,yes,yes,no,2.8,no
34,47,female,yes,yes,yes,no,4.7,yes
34,47,female,yes,yes,yes,no,4.2,yes
34,47,female,yes,yes,yes,no,3.2,no
34,47,female,yes,yes,yes,no,3.1,no
34,47,female,yes,yes,yes,no,4.0,yes
35,54,male,no,yes,no,no,4.2,yes
35,54,male,no,yes,no,no,4.3,yes
36,44,female,yes,yes,no,yes,3.3,no
36,44,female,yes,yes,no,yes,4.1,yes
36,44,female,yes,yes,no,yes,3.7,yes
37,47,male,yes,yes,no,no,3.3,no
37,47,male,yes,yes,no,no,3.8,yes
37,47,male,yes,yes,no,no,3.4,no
37,47,male,yes,yes,no,no,4.2,yes
37,47,male,yes,yes,no,no,3.8,yes
37,47,male,yes,yes,no,no,3.5,yes
37,47,male,yes,yes,no,no,3.3,no
38,62,male,no,yes,no,no,4.3,yes
38,62,male,no,yes,no,no,4.1,yes
39,60,male,no,yes,no,no,4.5,yes
39,60,male,no,yes,no,no,4.5,yes
39,60,male,no,yes,no,no,4.6,yes
39,60,male,no,yes,no,no,4.4,yes
39,60,male,no,yes,no,no,4.1,yes
39,60,male,no,yes,no,no,4.5,yes
39,60,male,no,yes,yes,no,4.3,yes
41,42,male,no,yes,no,no,4.4,yes
41,42,male,no,yes,no,no,4.9,yes
41,42,male,no,yes,no,no,4.7,yes
41,42,male,no,yes,no,no,4.6,yes
42,35,male,no,yes,yes,yes,4.8,yes
42,35,male,no,yes,no,yes,4.2,yes
42,35,male,no,yes,yes,yes,4.6,yes
43,39,female,no,yes,no,yes,4.7,yes
43,39,female,no,yes,no,yes,4.6,yes
43,39,female,no,yes,yes,yes,3.6,yes
44,49,male,no,yes,no,yes,3.9,yes
44,49,male,no,yes,no,yes,4.0,yes
45,61,male,no,yes,no,yes,4.4,yes
45,61,male,no,yes,yes,yes,4.5,yes
45,61,male,no,yes,no,yes,4.4,yes
46,33,male,no,yes,no,yes,3.0,no
46,33,male,no,yes,no,yes,3.7,yes
48,56,female,no,yes,no,no,3.6,yes
48,56,female,no,yes,no,no,3.1,no
49,50,female,no,yes,yes,no,3.8,yes
49,50,female,no,yes,yes,no,4.7,yes
49,50,female,no,yes,no,no,3.8,yes
49,50,female,no,yes,no,no,3.8,yes
49,50,female,no,yes,no,no,2.8,no
49,50,female,no,yes,no,no,4.0,yes
50,52,male,no,yes,no,no,4.0,yes
50,52,male,no,yes,no,no,3.5,yes
50,52,male,no,yes,no,no,3.4,no
50,52,male,no,yes,no,no,4.0,yes
50,52,male,no,yes,no,no,3.5,yes
50,52,male,no,yes,no,no,3.8,yes
50,52,male,no,yes,no,no,4.7,yes
50,52,male,no,yes,no,no,3.9,yes
50,52,male,no,yes,no,no,4.5,yes
50,52,male,no,yes,no,no,4.2,yes
50,52,male,no,yes,no,no,4.7,yes
50,52,male,no,yes,no,no,4.0,yes
51,33,female,no,yes,no,yes,4.8,yes
51,33,female,no,yes,no,yes,4.8,yes
51,33,female,no,yes,no,yes,4.4,yes
51,33,female,no,yes,no,yes,4.7,yes
51,33,female,no,yes,no,yes,4.5,yes
52,57,male,no,yes,no,yes,4.2,yes
52,57,male,no,yes,no,yes,4.4,yes
52,57,male,no,yes,no,yes,4.1,yes
53,38,female,no,yes,yes,yes,4.2,yes
53,38,female,no,yes,no,yes,4.8,yes
53,38,female,no,yes,no,yes,4.4,yes
53,38,female,no,yes,no,yes,4.7,yes
53,38,female,no,yes,yes,yes,4.2,yes
53,38,female,no,yes,no,yes,4.5,yes
54,34,female,no,yes,yes,no,3.4,no
54,34,female,no,yes,yes,no,3.7,yes
54,34,female,no,yes,no,no,3.6,yes
54,34,female,no,yes,no,no,3.9,yes
54,34,female,no,yes,no,no,3.9,yes
55,34,male,no,yes,no,yes,3.7,yes
55,34,male,no,yes,yes,yes,3.0,no
56,32,male,no,yes,yes,no,3.6,yes
56,32,male,no,yes,yes,no,3.6,yes
56,32,male,no,yes,no,no,4.3,yes
56,32,male,no,yes,no,no,4.5,yes
57,42,female,no,yes,no,yes,3.9,yes
58,43,female,no,yes,no,no,4.6,yes
58,43,female,no,yes,yes,no,4.1,yes
58,43,female,no,yes,yes,no,4.2,yes
58,43,female,no,yes,yes,no,4.1,yes
58,43,female,no,yes,yes,no,3.1,no
58,43,female,no,yes,yes,no,3.6,yes
58,43,female,no,yes,no,no,4.2,yes
58,43,female,no,yes,yes,no,3.0,no
58,43,female,no,yes,no,no,4.2,yes
59,35,male,no,no,yes,no,3.4,no
60,62,female,no,yes,no,no,3.1,no
60,62,female,no,yes,no,no,2.7,no
63,52,female,no,yes,no,yes,3.9,yes
64,52,female,no,yes,no,yes,3.9,yes
64,52,female,no,yes,no,yes,3.6,yes
65,52,female,no,yes,no,no,3.7,yes
65,52,female,no,yes,no,no,3.6,yes
65,52,female,no,yes,no,no,4.4,yes
65,52,female,no,yes,no,no,4.3,yes
65,52,female,no,yes,no,no,4.1,yes
65,52,female,no,yes,no,no,3.7,yes
66,64,male,no,yes,no,no,3.6,yes
66,64,male,no,yes,no,no,2.8,no
66,64,male,no,yes,no,no,4.0,yes
66,64,male,no,yes,no,no,4.4,yes
66,64,male,no,yes,no,no,3.6,yes
67,50,male,no,yes,no,yes,3.7,yes
68,60,male,no,yes,no,no,2.9,no
68,60,male,no,yes,no,no,2.6,no
70,43,male,no,yes,yes,no,4.8,yes
70,43,male,no,yes,yes,no,4.9,yes
70,43,male,no,yes,yes,no,4.3,yes
70,43,male,no,yes,yes,no,4.4,yes
70,43,male,no,yes,yes,no,4.3,yes
70,43,male,no,yes,yes,no,4.7,yes
70,43,male,no,yes,yes,no,4.3,yes
70,43,male,no,yes,yes,no,4.6,yes
71,50,male,yes,yes,yes,no,4.9,yes
71,50,male,yes,yes,yes,no,4.8,yes
71,50,male,yes,yes,yes,no,4.7,yes
71,50,male,yes,yes,yes,no,4.8,yes
71,50,male,yes,yes,yes,no,4.9,yes
71,50,male,yes,yes,yes,no,4.8,yes
71,50,male,yes,yes,yes,no,4.8,yes
71,50,male,yes,yes,yes,no,5.0,yes
71,50,male,yes,yes,yes,no,4.5,yes
72,52,male,no,yes,no,yes,3.8,yes
72,52,male,no,yes,no,yes,3.8,yes
72,52,male,no,yes,no,yes,3.8,yes
72,52,male,no,yes,no,yes,4.0,yes
72,52,male,no,yes,no,yes,4.2,yes
73,51,male,no,yes,yes,yes,4.5,yes
73,51,male,no,yes,yes,yes,4.5,yes
73,51,male,no,yes,yes,yes,4.6,yes
73,51,male,no,yes,yes,yes,4.7,yes
74,38,male,no,yes,yes,no,4.1,yes
74,38,male,no,yes,yes,no,3.6,yes
74,38,male,no,yes,yes,no,4.0,yes
75,47,female,no,yes,yes,yes,3.4,no
76,43,female,yes,yes,yes,no,2.8,no
77,38,female,no,yes,yes,no,4.1,yes
77,38,female,no,yes,yes,no,3.5,yes
77,38,female,no,yes,yes,no,3.4,no
77,38,female,no,yes,yes,no,4.1,yes
77,38,female,no,yes,yes,no,4.2,yes
78,43,male,no,yes,yes,no,4.3,yes
78,43,male,no,yes,no,no,4.1,yes
78,43,male,no,yes,no,no,3.4,no
79,57,male,no,yes,no,no,3.5,yes
79,57,male,no,yes,no,no,3.6,yes
80,51,female,no,yes,no,yes,3.7,yes
80,51,female,no,yes,no,yes,3.0,no
80,51,female,no,yes,no,yes,4.6,yes
81,45,male,no,yes,yes,no,4.0,yes
81,45,male,no,yes,yes,no,4.8,yes
81,45,male,no,yes,yes,no,4.6,yes
82,57,male,no,yes,yes,no,3.4,no
82,57,male,no,yes,yes,no,4.4,yes
82,57,male,no,yes,yes,no,3.6,yes
82,57,male,no,yes,yes,no,3.8,yes
82,57,male,no,yes,yes,no,3.7,yes
82,57,male,no,yes,yes,no,4.7,yes
82,57,male,no,yes,yes,no,4.5,yes
82,57,male,no,yes,no,no,5.0,yes
82,57,male,no,yes,yes,no,3.8,yes
82,57,male,no,yes,yes,no,4.1,yes
83,47,female,no,yes,yes,yes,4.3,yes
83,47,female,no,yes,yes,yes,4.4,yes
83,47,female,no,yes,yes,yes,4.7,yes
83,47,female,no,yes,yes,yes,3.9,yes
84,54,female,yes,yes,yes,yes,4.8,yes
84,54,female,yes,yes,yes,yes,4.3,yes
84,54,female,yes,yes,yes,yes,4.6,yes
84,54,female,yes,yes,yes,yes,3.8,yes
85,58,male,no,yes,yes,yes,5.0,yes
85,58,male,no,yes,yes,yes,4.9,yes
85,58,male,no,yes,yes,yes,4.6,yes
85,58,male,no,yes,yes,yes,4.6,yes
85,58,male,no,yes,yes,yes,5.0,yes
85,58,male,no,yes,yes,yes,4.6,yes
85,58,male,no,yes,yes,yes,4.9,yes
86,42,male,no,yes,yes,yes,4.0,yes
86,42,male,no,yes,no,yes,3.9,yes
87,33,male,no,yes,yes,yes,4.1,yes
88,62,male,no,yes,yes,no,2.9,no
88,62,male,no,yes,yes,no,2.8,no
88,62,male,no,yes,yes,no,2.8,no
88,62,male,no,yes,no,no,4.0,yes
88,62,male,no,yes,yes,no,3.3,no
88,62,male,no,yes,yes,no,3.0,no
89,35,female,yes,yes,yes,yes,3.6,yes
89,35,female,yes,yes,yes,yes,3.8,yes
90,61,male,no,yes,yes,no,3.9,yes
91,52,female,no,yes,yes,no,4.7,yes
91,52,female,no,yes,yes,no,4.7,yes
92,60,female,no,no,no,no,3.9,yes
92,60,female,no,no,no,no,4.4,yes
92,60,female,no,no,no,no,3.6,yes
92,60,female,no,no,no,no,4.2,yes
92,60,female,no,no,no,no,3.4,no
92,60,female,no,no,no,no,4.0,yes
93,32,male,no,yes,yes,yes,4.2,yes
93,32,male,no,yes,no,yes,4.4,yes
93,32,male,no,yes,yes,yes,4.5,yes
93,32,male,no,yes,yes,yes,3.2,no
93,32,male,no,yes,no,yes,4.3,yes
94,42,female,yes,no,no,yes,3.3,no
94,42,female,yes,no,no,yes,3.2,no
94,42,female,yes,no,yes,yes,4.1,yes
